sender,Poly_id
n175,1-  10
h96,1-  11
h43,1-  12
h48,1-  13
h63,1-  13
n430,1-  13
h45,1-  14
n183,1-  27
h69,1-  60
h21,1-  61
h39,1-  61
h41,1-  61
n329,1-  61
h103,2-  11
h38,2-  15
h80,2-  15
n163,2-  18
n247,3-  12
h58,3-  14
h75,3-  14
h114,3-  15
n364,3-  15
n334,3-  46
n425,3-  62
h91,4-  13
n142,5-   4
n438,5-   4
n383,5-  16
h98,5-  19
h116,5-  19
n145,5-  34
n348,5-  60
n666,5- 150
n288,6-   4
h36,6-  13
n265,6-  13
n130,6-  34
n402,7-   6
n263,7-  33
n179,7-  34
n376,7-  54
n138,8-   5
n223,8-   9
n324,8-  28
n232,8-  30
n380,8-  40
n283,8-  41
n106,9-   2
n113,9-   9
n342,9-  27
n105,9-  37
n197,9-  40
n168,9-  65
n420,10-   2
n341,10-  34
n313,10-  41
n360,10-  41
n228,10-  68
n181,10-  71
n115,11-   7
h32,11-  32
n117,11-  41
n331,11-  41
n413,11-  67
h86,13-   9
n135,13-   9
n112,13-  69
n429,13-  69
n128,14-   9
n343,14-  40
n279,14-  44
n258,15-  36
n367,15-  42
n177,16-  38
n321,17-  40
n200,17-  41
n670,17-  90
n210,18-   5
n227,18-   7
n298,19-   4
n222,19-  44
n384,20-  44
n146,21-  24
n301,22-  37
n667,23- 110
n272,24-  46
n669,25- 110
h162,25- 124
n663,25- 124
n668,25- 124
n230,27-   5
n203,28-  28
n347,33-  46
h72,34-  32
h33,35-  33
n152,36-   1
n217,36-  37
n406,37-  46
n407,41-   5
n180,49-  62
n358,49-  63
n323,59-   2
n363,59-   2
n216,63-  60
n204,67-   9
h44,68-  69
n274,68-  69
h18,69-  69
n385,69-  69
n257,69-  70
n422,70-  70
n443,71-  70
n133,71-  71
n394,72-  21
n408,73-  80
n409,74-  80
n423,76-  71
h52,77-  73
n141,79-  74
n190,90-  25
n249,90-  51
h142,98- 119
n149,99-   9
h26,101-   1
h88,102-   2
n239,103-   1
h70,104-  12
n254,116-  21
n317,119-  15
n395,119-  16
n333,121-  16
h107,125-  25
n101,126-   4
h105,126-   5
h101,126-  25
n235,126-  26
n306,127-   4
h56,127-  25
h28,127-  26
n316,127-  28
n591,127-  35
n622,127-  36
n623,127-  36
n433,130-  14
n276,132-   4
h145,132-  32
n588,134-  13
n594,134-  29
n600,134-  29
n596,134-  30
n586,134-  31
n585,134- 168
n598,135-  14
n614,135-  29
h143,135- 170
n609,136-  35
n621,137-  17
n593,137-  36
n613,137-  38
n575,138-   7
n599,138-  18
n589,139-  41
n561,140-   2
n601,146-  62
n619,147-  51
n573,148-   2
h147,148-  54
n605,148-  54
n606,148-  54
n617,148-  54
n604,148-  65
n595,149-  50
n602,149-  52
n611,149-  52
n616,150-  51
n587,151-  57
n624,151-  57
n554,152-  13
n620,152-  59
n563,153-  19
n590,154-  50
n555,158-  23
n559,159-  17
n608,159-  79
n560,160-  19
h144,160-  78
n607,161-  77
n610,161-  77
n615,161-  77
h146,161-  78
n603,163-  76
n612,165-  71
n597,167-  68
n583,168-  26
n582,181-  23
h150,182- 188
n639,182- 188
n661,182- 188
h152,182- 189
h160,182- 189
n653,183- 189
n646,184- 188
n652,184- 188
n654,184- 188
h136,187-  22
n556,187-  22
h151,187- 184
n651,187- 188
n640,189- 186
n662,189- 187
n557,190-  21
n578,190-  21
n574,197-  29
h140,199-  26
n553,199-  26
n558,199-  26
n564,199-  26
n576,199-  28
n580,199-  29
n581,199-  30
h139,208-  14
n562,208-  14
n567,208-  14
n451,221-   6
n452,221-   6
n453,221-   6
h118,222-   6
n450,222-   7
h117,238-   9
