location,latitude,longitude,direction
25-1,24.506293735421384,-97.58068825742296,w
25-2,25.14489563249412,-97.54371656864508,wnw
25-3,25.457292438140346,-97.52563043779188,wnw
25-4,25.676131440881647,-97.51296081131737,wnw
25-5,25.68304372367727,-97.51256062652395,wnw
25-6,26.21621556333467,-97.48169278317536,wnw
25-7,26.21992973280966,-97.48147775231102,wnw
25-8,26.682633440593296,-97.45468964291302,wnw
25-9,26.743169604607086,-97.45118491762801,nw
25-10,26.809493084222936,-97.44734513722919,nw
25-11,27.12323888529751,-97.42918090664067,nw
25-12,27.13286007919963,-97.4286238901516,nw
25-13,27.2338672418403,-97.42277610705135,nw
25-14,27.37493514172842,-97.41460901811045,nw
25-15,27.397620267963926,-97.41329566869682,nw
25-16,27.63422548553399,-97.39959747189013,nw
25-17,27.925871750532334,-97.18122233685743,nw
25-18,27.952762152718897,-97.13662046784607,nw
25-19,28.05549309950516,-96.96622538784001,nw
25-20,28.11251285241131,-96.87164935537548,nw
25-21,28.221018018738224,-96.69167684391978,nw
25-22,28.41520392817612,-96.36958963836173,nnw
25-23,28.418223733962297,-96.36458082587986,nnw
25-24,28.642598067519565,-95.99242147454687,nnw
25-25,29.27109828846302,-94.94995716577047,nnw
reference,27.233098991453048,-97.42282058470535,nan
